

                        DINGLE INLET CANAL + RAINBOW INLET CANAL                                        

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1941     350.     560.     580.    1640.    3920.   17650.    7450.    3080.   32000.   14630.    8640.    6210.    96710.
         1942   10620.   13990.    9750.    8070.    7230.   13370.   74150.   27950.   20190.    3330.    2080.     810.   191540.
         1943    1320.    2030.    5720.    4970.    6020.   31490.   82110.   73500.   43020.   19940.    4100.     850.   275070.
         1944    3460.    8150.    7290.    7050.    8150.   11100.   62200.   51170.   49720.    3910.    1890.     880.   214970.
         1945    8210.    7660.    6360.    7010.    7050.   16840.   22120.   29200.   44090.   23110.    9020.   14130.   194800.
         1946   10100.   14100.   11100.   13400.   10100.   45200.  105800.   91600.   23300.    8300.    7000.    9000.   349000.
         1947   12970.   11660.   14600.    9490.   11960.   53100.   42920.   80010.   76220.   31290.   15930.   12610.   372760.
         1948   13990.   14820.   11110.   10210.    9220.   16630.   66990.   98220.   44730.   10580.    5150.    3100.   304750.
         1949   10520.   10010.    7350.    6980.    6900.   18190.   46800.   47740.   44170.   20190.    6110.    3820.   228780.
         1950   12200.   15000.   10800.   10600.   12200.   39000.   89600.  142700.  139800.   47200.   20100.   10900.   550100.
         1951   18200.   19400.   17400.   13400.   17900.   28800.  106100.  112000.   71600.   27200.   22200.   12500.   466700.
         1952   18700.   17300.   15600.   15200.   15900.   17600.   78500.  200800.   82500.   31400.   14100.    9500.   517100.
         1953   11970.   12120.   12100.   14070.   13570.   22190.   26930.   10620.   43900.   11770.    9550.    1840.   190630.
         1954    5880.    9300.    9130.    9550.   10450.   20520.   26010.   11510.     770.    2160.    2190.     730.   108200.
         1955    4710.    7930.    5370.    6020.    6130.    7540.   22980.   11770.    7390.    2680.    5570.    1650.    89740.
         1956    7630.    6630.   10480.   13620.    8320.   39340.   74140.   85450.   67020.   10650.    7130.     940.   331350.
         1957    5200.    8400.    7300.    6000.    6800.   21500.   28800.   85200.  107000.   49000.   10800.    5200.   341200.
         1958    8030.   11800.   10880.    9720.   11380.   17960.   34730.   61590.   23200.    6290.    4610.     960.   201150.
         1959    4710.    7400.    7040.    6250.    6840.   14700.   30440.    8790.    1900.    9100.    4810.    3520.   105500.
         1960   12440.   12440.    8500.    7010.    7220.   26770.   37320.   17010.    1320.    3110.    2400.     910.   136450.
         1961    6750.    8510.    5980.    5070.    5770.   10250.    4570.     860.     910.     640.     640.    1560.    51510.
         1962    5000.    6000.    4300.    4700.   21100.   15200.  120900.   80900.   36100.   27500.    9800.    2900.   334400.
